Sim #,Semi_b_0,Semi_c_0,Ecc_b_0,Ecc_c_0,Inc_b_0,Inc_c_0,LongA_b_0,LongA_c_0,Mut Incl,Runtime
07444,0.0360193661284,0.671199292133,0.32867182206,0.819421447889,1.55239520797,211.719786379,332.475649833,211.719786379,2.5736947999509123,0.000000
07445,0.0601736823682,0.264555459011,0.721545367231,0.0780614091727,3.04357646153,292.071763271,277.943563051,292.071763271,1.2371170306181132,0.000000
07446,0.0240451835741,0.208864199494,0.0147504624128,0.373267105446,2.22264302535,344.961135176,102.515331814,344.961135176,0.24688433067522877,35.000000
07447,0.144158676662,0.400722626314,0.193811093262,0.0341297470521,0.0216531455017,210.072683922,315.76162706,210.072683922,2.61662299520076,12001.000000
07448,0.0338752400428,0.475261017785,0.0846690046214,0.131199203094,3.52611565324,41.8067746905,342.634607709,41.8067746905,0.6997601964909741,292.000000
07449,0.0261898624509,0.180886495136,0.133422668469,0.2814819624,1.75296155364,135.879228474,178.809841688,135.879228474,2.3489216826217767,1194.000000
07450,0.0215868023479,0.781299015653,0.249950332027,0.0120636722474,1.06530154,84.0696854465,15.0819658962,84.0696854465,1.4606419415786143,3.000000
07451,0.0913019161472,1.38972984779,0.186240293599,0.697179559493,0.584367090336,189.993958239,64.2090691331,189.993958239,2.961013587404874,0.000000
07452,0.118131724726,0.458346377738,0.184738342861,0.339521300162,4.91889466001,242.747335325,83.1944722174,242.747335325,1.965791922661481,24498.000000
07453,0.0203608912829,0.0983129988862,0.120423102436,0.446718436016,2.16074961436,127.683003172,232.474895704,127.683003172,2.2375977511421663,10742.000000
07454,0.0383232587987,0.238658468864,0.260747420364,0.180500806433,4.61756591883,213.380198718,192.552163008,213.380198718,2.633607256888115,12097.000000
07455,0.0687048141404,0.377840312926,0.128379095119,0.761169719973,3.5881690158,104.179864082,148.345437208,104.179864082,1.7731347986416666,0.000000
07456,0.060529405894,1.83411169996,0.287339084192,0.92869144449,2.24757976868,111.177174339,190.335636833,111.177174339,1.9327444315684654,0.000000
07457,0.0234326495277,0.412159524154,0.0234303496064,0.115986301627,0.909635819953,353.168551518,74.6362986711,353.168551518,0.12259148418005032,311.000000
07459,0.0226423306309,0.452348952796,0.0344301691996,0.109934878726,2.1201689223,256.068759277,209.68464453,256.068759277,1.839375737819943,366.000000
07460,0.0414285397842,0.349479686648,0.136624984425,0.124995733894,3.64025912599,301.737283511,203.686797827,301.737283511,1.009214192524003,1398.000000
07461,0.0691657516596,0.29399283564,0.840853527982,0.364511629256,4.17351508102,234.342849852,194.717570949,234.342849852,2.2484077622744207,0.000000
07462,0.0388798048023,0.313908131937,0.627032023468,0.26981130321,4.75079177132,156.310704286,35.516322527,156.310704286,2.764196836239575,0.000000
07465,0.110806781347,0.389521369627,0.415028948426,0.493764656069,1.59875180807,338.901540203,121.605840116,338.901540203,0.3464338673655545,0.000000
07466,0.0460153202798,0.467944055095,0.220162050542,0.183520022065,2.0729890144,234.466281397,217.320655949,234.466281397,2.2255069417158486,576.000000
07467,0.1040294412,0.313696189736,0.195013335355,0.149287272919,4.37467404765,112.311763908,200.098845396,112.311763908,1.956072641747521,23435.000000
07468,0.0136364912335,0.0937190859386,0.0349707614776,0.205979487512,4.54981452263,341.690023439,69.7782655027,341.690023439,0.33152305135974747,376.000000
07469,0.0387037735741,0.198690326422,0.271356949337,0.0163944288384,2.90359347351,71.6610279487,269.938108441,71.6610279487,1.2988807725301987,41341.000000
07471,0.0498876711315,0.392619495298,0.154024989112,0.0721564118354,3.83690856031,65.9708136625,293.512372141,65.9708136625,1.197129661204676,479.000000
07473,0.0471984579093,0.194280217284,0.298505906861,0.193762333064,1.08050946738,59.8914314415,355.627181427,59.8914314415,1.037198399116761,24368.000000
07475,0.0427965597291,0.123338820238,0.435034355784,0.144975130882,2.52861487978,279.66130196,221.979352885,279.66130196,1.4258814227005852,26866.000000
07476,0.0647541264056,0.411977788323,0.422354747625,0.0439921642075,1.46663802289,147.762196818,158.000825863,147.762196818,2.5537310973278617,4317.000000
07477,0.0260375436592,0.265534320684,0.0612436801729,0.781207419623,3.78277702541,115.344756658,92.5326125072,115.344756658,1.9521435052024223,0.000000
07478,0.0337901466563,0.490872620332,0.0705466472064,0.129278892163,2.36149386218,181.994943147,81.0753462915,181.994943147,3.082821124554804,190.000000
07479,0.129544827391,0.457800287183,0.00694088744897,0.00510086456073,3.07411410235,157.478170402,84.6206290377,157.478170402,2.729662891620415,20925.000000
07480,0.104488265861,2.52926294553,0.17728985468,0.0722058084788,1.36515191295,51.9609415343,12.736750953,51.9609415343,0.8885225566257231,6.000000
07481,0.0436407977913,0.318258652809,0.538193299601,0.598317178683,0.284261238044,80.8677983764,250.941758272,80.8677983764,1.416296427995673,0.000000
07483,0.123998313792,0.489823520732,0.173281244449,0.271457952186,0.918808495974,356.292943468,99.4440821261,356.292943468,0.0630144979516009,4334.000000
